success,completion_time,min_obs_distance,min_agent_distance,collisions,control_cost,control_smoothness,input_saturation_ratio,max_angle_gap_deg,radius_variance,mean_radius,current_center_error,predicted_center_error,path_length,stall_steps,convoy_ratio,scene,method,seed
False,65.0,inf,0.0027780261822544284,True,226.38401401527756,15354.43919808462,0.0,155.4143816016659,2.8433573041787243e-05,0.011665614244152073,0.0036604490913033066,0.0036604490913033066,297.02172052572655,0,0.0,s2_same_side_expansion,M3,2
True,7.45,inf,0.7454122605688378,False,39.5433364055198,0.07201369547811465,0.07993850883935434,60.00000007148521,6.041128325642159e-19,1.21306463756403,1.2735642731079573e-09,1.2735642731079573e-09,45.07273361578679,1089,0.0,s2_same_side_expansion,M4,0
True,7.4,inf,0.7553254366832325,False,39.415411166735296,0.07274209226908539,0.07942608250064054,60.000000071532746,6.045555328603903e-19,1.21306463756403,1.2741025365422094e-09,1.2741025365422094e-09,44.99672199238853,1089,0.0,s2_same_side_expansion,M4,1
True,7.4,inf,0.7347311856192055,False,39.33933070237786,0.07232609974425104,0.07916986933128363,60.00000007189436,6.087692096610721e-19,1.21306463756403,1.2748110822914705e-09,1.2748110822914705e-09,44.93871030366706,1090,0.0,s2_same_side_expansion,M4,2
True,7.45,inf,0.7454122605688378,False,39.5433364055198,0.07201369547811465,0.07993850883935434,60.00000007148521,6.041128325642159e-19,1.21306463756403,1.2735642731079573e-09,1.2735642731079573e-09,45.07273361578679,1089,0.0,s2_same_side_expansion,M5,0
True,7.4,inf,0.7553254366832325,False,39.415411166735296,0.07274209226908539,0.07942608250064054,60.000000071532746,6.045555328603903e-19,1.21306463756403,1.2741025365422094e-09,1.2741025365422094e-09,44.99672199238853,1089,0.0,s2_same_side_expansion,M5,1
True,7.4,inf,0.7347311856192055,False,39.33933070237786,0.07232609974425104,0.07916986933128363,60.00000007189436,6.087692096610721e-19,1.21306463756403,1.2748110822914705e-09,1.2748110822914705e-09,44.93871030366706,1090,0.0,s2_same_side_expansion,M5,2
False,65.0,inf,0.7435125011640655,False,39.44929104469972,0.07222649422009399,0.07968229566999743,60.00000024797058,9.924955897560482e-23,0.9171986531577508,1.4583894542215404e-09,1.4583894542215404e-09,45.31194668411493,1084,0.0,s2_same_side_expansion,M6,0
False,65.0,inf,0.7535843367485642,False,39.34609637898891,0.07337325864950109,0.07929797591596208,60.00000024673484,9.761577894251806e-23,0.9171986531577843,1.4554106160383563e-09,1.4554106160383563e-09,45.245526622124935,1084,0.0,s2_same_side_expansion,M6,1
False,65.0,inf,0.7332646533060114,False,39.26906515134495,0.07425954247426685,0.07916986933128363,60.000000248034546,9.87331555626799e-23,0.9171986531577822,1.4622597976521626e-09,1.4622597976521626e-09,45.17669262127934,1084,0.0,s2_same_side_expansion,M6,2
False,65.0,inf,0.7435125011640655,False,39.44929104469972,0.07222649422009399,0.07968229566999743,60.00000024797058,9.924955897560482e-23,0.9171986531577508,1.4583894542215404e-09,1.4583894542215404e-09,45.31194668411493,1084,0.0,s2_same_side_expansion,M7,0
False,65.0,inf,0.7535843367485642,False,39.34609637898891,0.07337325864950109,0.07929797591596208,60.00000024673484,9.761577894251806e-23,0.9171986531577843,1.4554106160383563e-09,1.4554106160383563e-09,45.245526622124935,1084,0.0,s2_same_side_expansion,M7,1
False,65.0,inf,0.7332646533060114,False,39.26906515134495,0.07425954247426685,0.07916986933128363,60.000000248034546,9.87331555626799e-23,0.9171986531577822,1.4622597976521626e-09,1.4622597976521626e-09,45.17669262127934,1084,0.0,s2_same_side_expansion,M7,2
False,50.0,inf,6.242286413729696e-10,True,28.402983141424755,0.07626849169957,0.07276057276057277,98.60081911356734,5.592952322123798e-23,9.94027597005574e-10,1.2825112375468253e-10,1.2825112375468253e-10,32.48633567408538,842,0.0,s3_static_encirclement,M1,0
