step,time,agent,omega,rho,psi_tilde,phi
47,2.35,5,0.0,1.0,0.998928185182875,0.0
48,2.4000000000000004,0,0.0,1.0,0.9989303627786251,0.0
48,2.4000000000000004,1,0.0,1.0,0.9989303627786251,0.0
48,2.4000000000000004,2,0.0,1.0,0.9989303627786251,0.0
48,2.4000000000000004,3,0.0,1.0,0.998930362778625,0.0
48,2.4000000000000004,4,0.0,1.0,0.998930362778625,0.0
48,2.4000000000000004,5,0.0,1.0,0.998930362778625,0.0
49,2.45,0,0.0,1.0,0.9989322495006604,0.0
49,2.45,1,0.0,1.0,0.9989322495006604,0.0
49,2.45,2,0.0,1.0,0.9989322495006604,0.0
49,2.45,3,0.0,1.0,0.9989322495006604,0.0
49,2.45,4,0.0,1.0,0.9989322495006604,0.0
49,2.45,5,0.0,1.0,0.9989322495006605,0.0
50,2.5,0,0.0,1.0,0.9989338601437887,0.0
50,2.5,1,0.0,1.0,0.9989338601437887,0.0
50,2.5,2,0.0,1.0,0.9989338601437887,0.0
50,2.5,3,0.0,1.0,0.9989338601437887,0.0
50,2.5,4,0.0,1.0,0.9989338601437887,0.0
50,2.5,5,0.0,1.0,0.9989338601437887,0.0
51,2.5500000000000003,0,0.0,1.0,0.9989352090577656,0.0
51,2.5500000000000003,1,0.0,1.0,0.9989352090577656,0.0
51,2.5500000000000003,2,0.0,1.0,0.9989352090577656,0.0
51,2.5500000000000003,3,0.0,1.0,0.9989352090577656,0.0
51,2.5500000000000003,4,0.0,1.0,0.9989352090577656,0.0
51,2.5500000000000003,5,0.0,1.0,0.9989352090577656,0.0
52,2.6,0,0.0,1.0,0.9989363100540912,0.0
52,2.6,1,0.0,1.0,0.9989363100540912,0.0
52,2.6,2,0.0,1.0,0.9989363100540912,0.0
52,2.6,3,0.0,1.0,0.998936310054091,0.0
52,2.6,4,0.0,1.0,0.9989363100540912,0.0
52,2.6,5,0.0,1.0,0.9989363100540912,0.0
53,2.6500000000000004,0,0.0,1.0,0.9989371763371521,0.0
53,2.6500000000000004,1,0.0,1.0,0.9989371763371521,0.0
53,2.6500000000000004,2,0.0,1.0,0.9989371763371521,0.0
53,2.6500000000000004,3,0.0,1.0,0.9989371763371521,0.0
53,2.6500000000000004,4,0.0,1.0,0.9989371763371521,0.0
53,2.6500000000000004,5,0.0,1.0,0.9989371763371521,0.0
54,2.7,0,0.0,1.0,0.9989378204560203,0.0
54,2.7,1,0.0,1.0,0.9989378204560203,0.0
54,2.7,2,0.0,1.0,0.9989378204560203,0.0
54,2.7,3,0.0,1.0,0.9989378204560203,0.0
54,2.7,4,0.0,1.0,0.9989378204560203,0.0
54,2.7,5,0.0,1.0,0.9989378204560205,0.0
55,2.75,0,0.0,1.0,0.9989382542736235,0.0
55,2.75,1,0.0,1.0,0.9989382542736235,0.0
55,2.75,2,0.0,1.0,0.9989382542736235,0.0
55,2.75,3,0.0,1.0,0.9989382542736235,0.0
55,2.75,4,0.0,1.0,0.9989382542736235,0.0
55,2.75,5,0.0,1.0,0.9989382542736234,0.0
56,2.8000000000000003,0,0.0,1.0,0.998938488950381,0.0
56,2.8000000000000003,1,0.0,1.0,0.998938488950381,0.0
56,2.8000000000000003,2,0.0,1.0,0.998938488950381,0.0
56,2.8000000000000003,3,2.3223380167181065e-05,1.0,0.998938488950381,0.00023223380167181062
56,2.8000000000000003,4,0.0,1.0,0.998938488950381,0.0
56,2.8000000000000003,5,0.0,1.0,0.998938488950381,0.0
57,2.85,0,0.0,1.0,0.9989385349396467,0.0
57,2.85,1,0.0,1.0,0.9989385349396467,0.0
57,2.85,2,0.0,1.0,0.9989385349396468,0.0
57,2.85,3,0.0015533664899715308,1.0,0.9989385349396468,0.015324654478210676
57,2.85,4,0.0,1.0,0.9989385349396468,0.0
57,2.85,5,0.0,1.0,0.9989385349396468,0.0
58,2.9000000000000004,0,0.0,1.0,0.99893840924432,0.0
58,2.9000000000000004,1,0.0,1.0,0.99893840924432,0.0
58,2.9000000000000004,2,0.0,1.0,0.99893840924432,0.0
58,2.9000000000000004,3,0.0044298841257013255,1.0,0.99893840924432,0.03031854284726947
58,2.9000000000000004,4,0.0,1.0,0.99893840924432,0.0
58,2.9000000000000004,5,0.0,1.0,0.9989384092443198,0.0
59,2.95,0,0.0,1.0,0.9989381342322274,0.0
59,2.95,1,0.0,1.0,0.9989381342322274,0.0
59,2.95,2,0.0,1.0,0.9989381342322274,0.0
59,2.95,3,0.008506850758076882,1.0,0.9989381342322273,0.04519955044945689
59,2.95,4,0.0,1.0,0.9989381342322273,0.0
59,2.95,5,0.0,1.0,0.9989381342322273,0.0
60,3.0,0,0.0,1.0,0.9989377300428551,0.0
60,3.0,1,0.0,1.0,0.9989377300428551,0.0
60,3.0,2,0.0,1.0,0.9989377300428551,0.0
60,3.0,3,0.013651511655780288,1.0,0.9989377300428551,0.059953459735110924
60,3.0,4,0.0,1.0,0.9989377300428551,0.0
60,3.0,5,0.0,1.0,0.9989377300428552,0.0
61,3.0500000000000003,0,0.0,1.0,0.9989372147392702,0.0
61,3.0500000000000003,1,0.0,1.0,0.9989372147392702,0.0
61,3.0500000000000003,2,0.000801801785377947,1.0,0.9989372147392702,0.00801801785377947
61,3.0500000000000003,3,0.01974297931470849,1.0,0.9989372147392702,0.0745661882450623
61,3.0500000000000003,4,0.0,1.0,0.9989372147392701,0.0
61,3.0500000000000003,5,0.0,1.0,0.9989372147392702,0.0
62,3.1,0,0.0005485601274281393,1.0,0.998936606738304,0.005485601274281393
62,3.1,1,0.0,1.0,0.998936606738304,0.0
62,3.1,2,0.0029586963744794945,1.0,0.998936606738304,0.02237074767639342
62,3.1,3,0.02667106221497062,1.0,0.9989366067383041,0.08902380831732977
62,3.1,4,0.0,1.0,0.9989366067383041,0.0
62,3.1,5,0.0,1.0,0.9989366067383042,0.0
63,3.1500000000000004,0,0.002295912885546006,1.0,0.9989359328607047,0.018022087708606804
63,3.1500000000000004,1,0.0,1.0,0.9989359328607047,0.0
63,3.1500000000000004,2,0.006328061816748716,1.0,0.9989359328607047,0.036652350797171704
63,3.1500000000000004,3,0.03433521836865716,1.0,0.9989359328607047,0.10331262375183599
63,3.1500000000000004,4,0.0,1.0,0.9989359328607046,0.0
63,3.1500000000000004,5,0.0004182039524071613,1.0,0.9989359328607047,0.004182039524071613
64,3.2,0,0.005118432936083762,1.0,0.9989352524847833,0.03052111339092356
64,3.2,1,0.0,1.0,0.9989352524847833,0.0
64,3.2,2,0.010780244874366192,1.0,0.9989352524847833,0.05084989239292348
64,3.2,3,0.042643637272966425,1.0,0.9989352524847833,0.11741940741174979
64,3.2,4,0.0,1.0,0.9989352524847833,0.0
